date,material,stock_level,daily_consumption,supplier_reliability,actual_demand,crisis_event
2023-01-01,steel,500.0,48.2,0.85,50.1,0
2023-01-01,plastic,300.0,29.5,0.82,31.2,0
2023-01-01,electronics,800.0,76.3,0.91,79.8,0
2023-01-02,steel,451.8,52.1,0.87,49.5,0
2023-01-02,plastic,270.5,31.0,0.80,30.8,0
2023-01-02,electronics,723.7,82.4,0.89,81.1,0
2023-01-03,steel,399.7,47.8,0.75,52.3,0
2023-01-03,plastic,239.5,28.9,0.73,29.5,0
2023-01-03,electronics,641.3,79.1,0.78,83.2,0
2023-01-04,steel,351.9,53.5,0.80,48.7,0
2023-01-04,plastic,210.6,30.2,0.79,31.8,0
2023-01-04,electronics,562.2,85.0,0.82,78.9,0
2023-01-05,steel,298.4,46.7,0.88,51.0,0
2023-01-05,plastic,180.4,32.1,0.86,30.1,0
2023-01-05,electronics,477.2,77.8,0.90,82.5,0
2023-03-15,steel,245.1,68.3,0.42,72.1,1
2023-03-15,plastic,112.8,41.2,0.38,45.6,1
2023-03-15,electronics,389.4,105.7,0.45,110.2,1
2023-03-16,steel,176.8,71.0,0.40,68.5,1
2023-03-16,plastic,71.6,43.8,0.36,42.1,1
2023-03-16,electronics,283.7,108.2,0.43,112.8,1
